"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
1,0,25.16667,1.8,0.09848222,147.7233,0,0,0,6,0,8
1,0,31.25,1.56,0.3860019,501.8025,0,0,0,33,0,0
1,0,23.16667,4,0.00165,4.583333,0,1,2,16,1,0
1,0,38.33333,5,0.03514566,238.365,0,0,1,51,1,6
1,0,30.16667,2.8,0.1643857,383.5667,0,0,0,18,1,6
1,0,30.41667,1.5,0.06344134,78.885,1,0,1,120,0,5
1,0,21.25,10.0393,0.02186308,182.825,0,0,2,8,1,5
1,0,33.25,2.42,0.03642203,9.854167,0,0,3,34,1,17
1,0,41.91667,2.6,0.24272,1011.333,0,0,1,5,1,0
1,0,45.08333,2.4,0.07776695,298.0233,0,0,2,72,1,5
0,0,26.58333,13.5,0.06488553,126.6508,0,0,2,26,1,2
0,3,25.91667,3.1,0.1696903,438.3667,1,0,2,36,1,5
1,1,37.33333,2.8,0.2532993,590.9484,1,0,1,51,1,7
1,1,28.16667,2,0.02481051,101.2625,1,0,1,84,1,1
1,0,30.25,4.85,0.03192233,198.0233,0,0,2,12,1,4
1,2,26.58333,2.45,0.1217171,248.5058,0,0,2,5,0,15
1,1,35.83333,4.3,0.02359458,122.515,0,0,0,37,1,13
1,4,23.41667,9.9999,0.0001200012,163.0392,0,0,0,27,1,5
1,0,21.83333,4.7232,0.02165545,84.9025,1,0,0,60,1,0
1,0,34.75,2.34,0.1833799,357.5908,0,0,0,120,0,11
1,0,40.83333,4.8,0.1011433,404.49,1,0,0,30,1,13
1,0,47.16667,1.66,0.05167186,301.2525,1,0,0,51,1,2
1,3,34.33333,2.35,0.0032,0,1,0,0,30,1,15
1,0,28.91667,5,0.0316508,131.8783,0,0,0,24,1,16
1,0,23.25,2.2,0.1919466,277.9892,1,0,0,228,0,11
1,0,24.75,1.875,0.1221516,126.0225,1,0,1,12,0,1
1,0,36.41667,3,0.1130587,282.5633,0,0,2,16,0,0
0,0,40.33333,8.2,0.0002857143,0,1,0,3,172,0,15
0,0,24.83333,6.2,0.000244898,0,0,1,0,108,1,7
1,0,24.25,2.8,0.02122066,383.5667,0,0,1,13,1,4
1,1,25.41667,1.7,0.0568759,78.42834,1,0,2,8,0,11
1,0,39.91667,1.68,0.05117067,156.5833,0,0,0,18,1,7
0,0,35.83333,4.5,0.0002666667,0,1,0,3,7,1,1
0,0,18.41667,9.9999,0.006455285,9.753333,0,0,0,114,0,5
1,0,22,4,0.03947758,4.583333,0,1,2,6,1,4
1,0,34.5,1.5896,0.0003636364,0,1,0,0,180,0,16
1,0,24.83333,3.6,0.01785056,0,0,1,0,12,1,14
1,0,36.41667,1.92,0.02146354,34.09167,0,0,2,12,1,21
1,0,41.5,3.8,0.071715,143.3467,0,0,0,27,1,4
1,0,39.33333,2.3004,0.002625298,0,0,1,0,12,1,3
0,2,33.16667,2.3204,0.00165,4.583333,0,1,2,62,1,4
1,0,34.83333,7.8,0.03314945,75.63417,1,0,0,60,1,11
1,0,36,2.5,0.0002666667,73.7975,1,0,3,228,1,9
1,0,38.5,1.5,0.0128,858.3475,0,0,0,33,1,16
1,0,35.66667,3.5822,0.1049978,84.73167,0,0,2,3,1,10
1,0,40.41667,5.43,0.007506077,59.19417,0,0,0,36,1,11
1,0,28.25,2.3,0.1644965,175.9975,1,0,3,30,0,4
1,2,29.83333,4.3,0.03458607,129.3933,1,0,0,80,1,14
1,0,44.5,4,0.01795825,59.19417,1,0,0,36,1,13
1,0,43.25,3.95,0.07802456,256.6642,1,0,2,24,1,20
0,0,27.16667,3.4,3e-04,0,1,0,0,37,1,7
1,0,27.33333,2.75,0.06718982,461.26,0,0,0,6,0,1
1,0,22.08333,1.65,0.08877037,199.7333,1,0,0,120,0,3
1,0,31.33333,3.2,0.007129848,109.6092,0,0,2,17,1,0
1,0,26.5,2.1,0.04111704,0,0,0,0,18,1,0
1,0,27.58333,4.1,0.04264756,0,0,0,0,6,1,0
1,0,28.33333,6.2,0.06892936,400.9117,1,0,0,18,1,9
1,0,24.5,2.8,0.05955571,0,0,0,0,5,1,0
0,0,40.58333,3.12,0.04245641,0,0,0,2,66,1,6
0,0,24.91667,2.3,0.0005454546,0,0,0,0,30,1,2
1,0,30.08333,5.1,0.001798365,4.583333,1,0,0,57,1,0
0,0,32.58333,10.9999,0.0001846154,97.42416,1,0,0,50,1,6
1,0,31.58333,2.0237,0.0005929733,320.5167,0,0,1,11,1,3
1,0,48.91667,3,0.067888,197.9233,0,0,2,18,0,2
1,0,39.08333,3.24,0.04952431,68.87083,1,0,0,60,1,22
1,0,25.33333,3.48,0.2148416,492.2558,1,0,0,156,1,5
1,1,24.91667,5.32,0.0002255639,68.53333,1,0,0,110,1,7
1,0,29.16667,3.4,0.0006470588,0.9166667,0,0,1,15,0,0
0,5,34.16667,3.12,0.0249386,0,0,0,0,12,1,2
1,1,32.33333,3.8425,0.00048,20.25,1,0,1,233,1,0
1,0,46,6,2e-04,121.5558,1,0,2,12,1,46
0,0,22.75,1.8,0.017262,0,0,0,1,48,1,5
1,0,28,2.6,0.04854384,42.51667,0,0,0,50,1,6
1,0,39.41667,3.9,0.1922946,58.99083,0,0,1,96,1,7
0,1,20.66667,2.7,0.00048,0,0,0,1,38,1,10
1,1,34.66667,2,0.023269,0,0,0,2,48,0,4
1,0,29.83333,5.905,0.0251939,199.795,0,0,1,12,1,0
1,1,36.16667,7.8,0.07122857,78.54166,0,0,0,24,0,18
0,0,32.41667,2.06,0.0005825243,17.66667,1,0,2,48,1,17
1,0,31.25,3.5,0.0003428572,38.0625,1,1,2,84,1,9
1,0,36.41667,2.16,4e-04,46.14167,0,0,0,7,1,16
0,3,41.58333,4.6,0.05273589,0,0,0,0,57,1,3
1,0,30.33333,3.5,0.0356228,265.0142,1,0,3,42,1,9
1,0,34.83333,2.55,0.2582515,860.755,1,0,1,204,0,0
1,0,43.5,1.7472,0.07401385,107.7642,1,0,2,18,0,2
1,0,26.08333,1.95,0.004564103,6.5,1,0,0,28,1,2
1,0,33.75,2.45,0.0501734,78.87417,1,0,3,10,1,10
1,0,24.16667,2.8896,0.08017754,193.0675,0,0,0,18,1,0
1,0,23.08333,2.7,0.1794971,144.3842,1,0,0,12,1,9
1,0,24.25,4,0.1076917,358.9725,0,0,0,14,1,9
1,0,24.08333,2.7,0.0004444444,59.1475,0,0,1,169,0,0
1,0,23.33333,2.585,0.02505764,53.645,0,0,0,11,1,8
0,1,38.83333,2.6,0.0004615385,0,1,0,0,61,1,8
1,0,42.83333,3.5412,0.2326392,541.2958,1,0,6,168,1,15
1,0,26.16667,2.52,0.06781389,3.166667,0,0,2,53,0,3
0,0,30.66667,1.56,0.3860019,0,1,0,1,28,0,6
1,0,22,2.4,0.03821515,88.5925,0,1,0,14,1,3
1,0,41.83333,2.75,0.1700255,282.8758,1,0,1,136,0,9
1,1,29.16667,2.2224,0.3980818,361.1617,0,0,0,6,1,14
1,2,34.83333,4.9,0.05726571,150.1767,0,0,2,128,1,3
1,0,29.33333,9.9999,0.04004043,163.0392,0,0,2,27,0,5
0,0,47.58333,3,4e-04,0,0,0,2,25,0,11
1,0,21.58333,6.8,0.03396795,88.23333,1,0,0,48,1,3
1,0,23.83333,2.97,0.0048,204.5367,1,0,0,4,1,14
0,0,62.91667,2.55,0.0004705882,68.38417,0,0,2,20,1,0
0,0,21.58333,2.46,0.1409972,3.75,0,0,1,4,1,5
1,0,30.66667,3.8,0.0032,102.9767,0,0,1,26,0,1
1,0,26.08333,2,0.006635826,282.8758,0,0,0,2,1,12
0,0,41.16667,7,0.0002531646,0,1,0,2,13,0,0
0,0,53.16667,2.55,0.0004285714,0,0,0,1,156,1,3
0,0,22.83333,3.1475,0.000381255,0,1,0,2,19,1,0
1,0,32.33333,3.074,2e-04,642.4742,0,0,2,17,1,0
1,2,26.83333,2.6,0.0004615385,84.275,0,0,0,6,1,17
1,0,38,1.7095,0.0007019597,132.8508,0,0,2,252,1,2
1,0,29.16667,2.5,0.1325831,325.85,0,0,0,7,1,21
1,1,35.33333,2.2,0.03820546,135.045,0,0,0,6,1,8
0,4,35.16667,1.5,8e-04,0,0,0,0,7,1,9
1,0,42.75,4.56,0.04965899,42.69083,0,0,0,9,1,5
0,0,27.58333,11,0.0001090909,0,1,1,0,30,1,0
1,0,22.5,2.4,0.1008329,214.065,0,0,2,2,1,9
1,7,28,3.2388,0.0003705076,42.51667,0,0,0,50,1,16
0,2,22.83333,3.5,0.04541571,0,0,0,0,8,1,3
1,0,32.83333,1.32,0.002961538,5.583333,0,0,0,84,1,2
1,2,26,3.9,0.221529,0,0,1,0,18,1,3
1,0,56.91667,5.6,0.03980107,185.7383,1,0,0,35,1,11
0,1,26.16667,2.466,0.000486618,474.5,1,0,4,14,1,14
0,0,30.33333,7.5,0.04870107,0,1,0,0,300,1,16
1,0,21.66667,3.2604,0.08961231,188.1858,0,0,1,31,1,0
1,0,24.66667,1.672,0.1754246,238.3275,0,0,0,4,1,5
1,0,40.75,2.385,0.04667138,332.7042,1,0,2,38,1,0
1,0,31.33333,2.5,0.04216182,77.04667,1,0,2,17,1,16
1,0,27.83333,6.8,0.0289768,569.9183,0,0,1,24,1,15
1,0,35.83333,3,0.1364475,156.5725,1,0,1,72,1,12
1,0,46.25,2,0.00685,151.3367,0,0,0,15,1,1
1,0,21.83333,1.54,0.08959676,114.8158,0,0,0,32,1,3
1,0,28,1.5,0.03419023,122.515,0,0,0,5,1,0
1,0,51.66667,3,3e-04,179.7658,0,0,0,36,1,0
1,1,41.83333,3.3,0.02411576,625.3675,1,0,3,188,1,19
1,0,51.75,4.7232,0.0004026846,84.9025,1,0,0,60,1,0
1,0,29.33333,2.5,0.1795448,374.0517,1,0,0,70,0,9
1,0,39.41667,2.3,0.06314021,247.2992,0,0,4,24,1,0
1,0,24.58333,1.68,0.08383188,111.6925,0,0,2,2,1,0
1,0,31.91667,2.7,0.1403464,257.3017,0,0,0,3,1,1
1,0,32.5,4.32,0.03704,675.7708,0,0,2,35,1,4
1,0,23.08333,3.75,0.128076,400.0708,0,0,0,37,1,11
1,0,20.33333,3.2,0.06567625,175.1367,0,0,2,10,1,8
1,0,83.5,2.8725,0.04437958,88.5925,0,1,0,38,0,6
1,0,22.33333,2.6,0.05342556,149.545,0,0,0,48,0,1
1,0,33.75,2,0.104841,253.3658,1,0,0,14,0,20
1,0,30.5,3.95,0.07802456,256.6642,0,0,1,24,1,20
1,0,24.25,1.9,0.09367893,292.6633,0,0,0,18,1,9
1,0,65.91666,2.7,0.01248148,118.7133,0,0,1,1,1,19
1,0,40,3.12,0.08677917,225.4592,0,0,4,74,0,19
1,0,32.58333,4.1125,0.02962699,101.2008,1,0,1,37,0,23
1,1,46,6,2e-04,57.98083,0,0,2,8,1,46
1,0,23.33333,2.55,0.007960784,10.42,0,0,1,24,1,19
0,0,35.91667,5.2,0.01664154,0,1,0,1,15,1,15
0,0,35,4.55,0.0002637363,0,1,0,0,12,1,15
1,0,30.08333,2.25,0.03186978,59.08916,0,0,4,51,1,1
0,11,29,2.7,0.0004444444,0,0,0,0,14,0,27
1,0,27.25,3.15,0.06297679,146.8625,0,0,0,24,1,11
1,0,37.75,5.9,0.06123782,79.60917,1,0,2,28,1,11
1,0,46.25,5.4,0.05977204,0,1,0,4,42,0,7
1,0,27.58333,2.8,0.01036232,23.25,0,0,0,30,1,1
1,0,43.83333,3.9,0.01558974,0,0,0,0,179,1,6
1,0,46.91667,3.4,0.03101882,87.63667,0,0,3,42,1,4
1,0,40,2.08,0.01570033,203.3667,1,0,3,124,1,0
1,0,57.66667,1.56,0.09851731,105.125,1,0,0,24,0,7
1,1,23.83333,2.55,0.03098154,50.17833,0,0,0,3,1,0
1,1,25.66667,2.1,0.1409972,327.11,0,0,1,15,1,6
0,0,30.66667,3.2,4e-04,0,0,0,1,28,1,1
1,0,34.83333,3.2,0.1451636,462.0208,0,0,2,25,1,2
0,0,35,2.6,0.05496077,0,1,0,0,36,1,7
1,0,35.16667,3.067,0.1596997,408.0825,0,0,1,13,1,0
0,0,21.83333,2.8,0.1119048,33.57083,0,0,0,60,1,11
1,0,31.25,4.8,0.1011433,11.6725,1,0,0,144,1,10
0,0,41.91667,4.74,0.0002531646,0,1,0,0,13,1,0
0,0,22.75,2.8,0.5418599,80.45084,0,0,0,80,1,2
0,0,25.41667,4.2,0.002619048,0,0,0,4,59,1,1
1,0,42.91667,4,0.05832653,240.2775,0,0,0,180,1,0
0,4,30.66667,2.74,0.01856679,0,0,0,0,36,1,5
1,0,34.16667,2.6875,0.0249386,88.94667,0,0,3,85,1,2
1,0,28.16667,3.35,0.0001859543,199.3692,1,0,0,42,1,13
1,0,27.83333,3,0.006866666,19.59,0,0,1,3,1,7
1,0,34.75,1.75,0.1833799,357.5908,0,0,0,6,0,11
0,0,38.33333,1.8,0.0572476,0,1,0,0,9,0,6
1,0,27.75,2.15,0.07259849,17.17167,0,0,0,8,1,0
0,0,23.83333,7.88,0.0001522843,0,1,1,4,6,1,14
0,2,47.41667,2.6,0.0004615385,0,0,0,2,12,1,12
1,0,35.83333,2.42,0.192044,319.49,0,0,0,56,1,10
1,0,22.58333,3.86,0.0003108808,86.54667,0,0,0,36,0,4
1,0,40.75,2.3,0.03113791,94.11833,1,0,1,24,1,1
1,1,53.58333,9.9999,0.0998702,832.2433,1,0,3,120,1,9
1,0,20.75,1.56,0.0006153846,0,0,0,2,14,1,13
1,0,34.83333,2.8,0.05751464,762.3784,0,0,0,12,1,3
0,0,32.16667,3.805,0.008436268,26,1,0,0,98,1,3
1,0,23.41667,2.15,0.1270335,227.6017,0,0,0,67,1,16
1,2,38.58333,3.2,0.1139598,379.8658,0,0,0,120,1,6
1,0,22.41667,3.06,0.1705402,434.8775,0,0,0,3,1,0
1,0,29.75,4.0104,0.000299222,116.4492,0,0,1,42,1,0
1,0,33.75,4.58,0.01286856,195.4508,0,0,0,12,1,2
1,0,33.75,2.656,0.1306339,352.8483,1,0,0,12,1,2
0,4,57.75,1.7095,6e-04,0,1,1,0,42,1,2
1,0,21.91667,4.1,0.06498916,122.1917,1,0,0,30,1,0
1,0,26.41667,4.15,0.1505325,384.8992,0,0,1,12,1,4
1,0,52.33333,3.328,0.01560016,79.685,1,0,4,72,1,3
1,0,23.75,1.5678,0.0007654037,0,1,0,1,6,1,0
1,0,46.91667,2.9623,0.03101882,4.583333,1,0,0,93,1,4
1,0,27.75,2.7,0.09362111,210.6475,0,0,0,9,0,0
1,0,21.66667,2.16,0.1106287,198.5483,0,0,0,24,1,7
0,0,29,4,0.0004444444,0,0,0,2,347,0,1
1,5,31.75,4.7,0.06314021,247.2992,1,0,0,12,1,11
0,0,19.58333,1.65,0.0006666667,0,1,0,0,11,1,13
1,0,27.91667,2.75,0.06718982,153.7267,0,0,0,6,1,0
1,0,19.5,2.42,0.0004026846,34.15583,1,0,0,49,1,25
0,0,24.25,2.25,0.2969185,0,0,0,1,12,1,11
0,0,50,1.2,0.001,0,1,0,2,15,0,11
0,2,28.16667,2.6,0.0004615385,0,1,0,2,31,1,3
1,0,38,1.5,8e-04,650.4375,0,0,2,7,1,0
1,0,25.33333,3,0.1966748,344.1808,1,1,1,22,1,12
1,0,0.1666667,3.1,0.1843664,323.0633,1,0,0,75,1,16
0,0,29.25,2.22,0.08336612,0,0,0,2,51,1,0
0,2,22.41667,4.9,0.000244898,0,0,0,2,408,1,3
1,0,41.58333,2.3,0.04575044,87.105,1,0,0,16,1,12
0,2,20.25,3.3,0.3426108,0,0,0,0,96,1,17
0,3,39.58333,2.6,0.02623077,0,1,0,2,70,1,18
1,0,34,8.1,0.04400998,80.86833,1,1,2,4,1,15
1,0,35.83333,3.095,0.071715,143.3467,1,0,0,27,1,18
1,0,22,2.7,0.04682963,105.2833,0,0,0,15,1,7
1,0,43.08333,7.8,0.1893335,43.03917,1,1,0,60,1,2
1,0,35.91667,2.12,0.0006486487,0,0,0,0,44,0,0
0,3,23.16667,1.6213,0.1840382,0,0,0,1,60,0,11
1,0,40.33333,2.5,0.0509016,105.9617,0,0,1,24,1,0
1,0,24.25,5.77,6e-04,0,1,0,1,13,1,11
1,0,33.83333,2.9,5e-04,471.345,1,0,2,147,1,8
1,0,25.16667,4.03,0.09530056,142.9508,0,0,0,72,1,2
1,0,31.66667,4.5,0.1395,523.125,1,0,0,3,0,0
1,0,24.91667,2.8,0.5418599,0.3125,0,0,0,80,1,8
1,0,20.25,1.99,0.06038794,100.1433,0,0,1,24,1,7
1,1,56.91667,3,0.004701667,320.6758,1,1,1,64,1,9
1,1,34.41667,5,0.18692,683.4283,0,1,0,108,1,6
1,2,32.58333,2.16,0.0005555556,402.7225,0,0,1,6,1,8
1,0,26.58333,2.2,0.07969773,213.1292,1,1,3,120,1,5
1,5,27.16667,2.2375,0.0006666667,93.91917,0,0,2,27,1,7
1,0,38.16667,2.4,5e-04,205.5133,0,0,0,99,1,6
1,0,26.66667,1.9,0.02353625,167.8267,1,0,3,24,1,5
1,0,27.58333,2.35,0.1535069,0,0,0,3,30,1,13
0,0,32.08333,2.16,0.00048,0,0,0,0,42,1,0
1,0,26,7,0.229822,478.7125,1,1,0,12,1,4
0,0,36.91667,2.6,0.01978,0,0,0,0,65,1,14
0,0,41.16667,4.74,0.00048,0,0,0,0,13,1,0
1,1,34.66667,3.9,0.07661206,0,0,0,0,48,1,10
0,0,49.16667,5.2,0.01664154,0,0,0,0,15,1,6
0,0,53.16667,3.25,0.1285348,0,0,0,0,12,0,5
1,0,32.66667,3.6,0.001833333,222.5392,0,0,0,12,1,2
1,0,32.58333,10,0.09064,294.58,1,0,3,7,1,28
0,0,24.33333,3.7,0.03311243,6.145833,1,0,2,6,1,18
0,0,29.25,4.467,3e-04,0,0,0,0,36,1,32
0,0,23.75,5.2,0.0002307692,0,1,0,1,6,1,0
1,0,22.91667,3.5,0.05806896,131.6742,1,0,2,2,1,4
1,0,61,1.5,0.1005738,569.9183,1,0,0,24,1,24
0,0,32.33333,6,2e-04,20.18083,0,0,0,24,0,4
0,0,25.66667,1.8504,0.0006485084,0,1,0,1,14,1,0
1,1,28.16667,2,0.051839,119,0,0,0,8,1,0
1,0,23.08333,3,0.02586333,63.99166,0,0,0,3,1,0
1,0,39,6.5,0.2897866,131.6742,1,0,2,113,1,18
0,0,35.16667,3.84,0.0004303389,0,0,0,0,38,1,2
1,0,47.08333,3.7,0.03722216,523.125,1,0,2,192,1,13
0,4,24.83333,3.5,0.0003428572,0,0,0,0,365,0,7
1,0,39.83333,2.8,0.0930713,132.4717,1,0,3,72,1,11
1,0,33.08333,4.5,0.05273589,391.4175,0,0,1,37,1,18
1,0,42.66667,5.14,0.008949417,99.10333,1,0,1,90,1,17
1,0,32.83333,5,0.006554524,0,0,0,0,24,1,0
0,1,54.83333,9.4,0.1686141,0,1,0,0,94,1,2
1,2,28.16667,2,0.051839,0,0,1,1,30,1,18
1,0,26.58333,2.75,0.03314945,75.63417,1,0,2,151,1,11
1,1,22.91667,1.92,0.0916836,34.09167,1,0,2,12,1,4
0,0,35.83333,2.308,0.0002666667,423.1267,0,0,1,6,0,0
1,0,24.16667,3.7,0.0007058823,219.2717,0,0,1,28,1,5
0,0,22.83333,3,0.000381255,0,1,0,2,19,0,3
1,0,39.75,2.45,0.3715959,508.2908,1,0,3,19,1,9
0,0,25.25,2.16,0.0006470588,0.9166667,0,0,0,38,0,2
1,0,32.91667,2.5,0.111812,186.3533,0,0,0,6,1,5
1,0,39.66667,3,0.005961538,12.08333,1,0,4,72,1,9
0,0,26.83333,4.1,0.07226063,0,0,0,2,6,1,15
1,0,27.25,4.1,0.0002926829,194.4667,0,0,0,6,1,15
1,0,30.33333,1.8,0.0003333333,182.6092,0,0,0,108,1,0
1,0,24.08333,5.32,0.1584613,297.0317,1,0,5,110,1,9
0,3,22.83333,2.67,0.0004494382,0,0,0,0,25,1,25
1,0,27.08333,4.7,0.115781,395.585,1,0,2,41,1,19
1,0,35.16667,2.97,0.04295223,171.5125,0,0,2,48,1,18
1,0,53.25,3.96,0.002424242,7.083333,1,0,3,9,0,0
1,0,27.25,3,0.068022,169.8883,0,0,0,216,0,5
0,0,31.25,1.78,0.04229,0,0,1,2,14,1,1
1,0,32.16667,1.5344,0.004301356,4.583333,1,0,0,14,1,7
1,0,28,5.1,0.101359,430.6925,1,0,0,24,1,4
1,0,22.58333,6.5,0.1113085,20.08333,0,0,2,12,1,4
0,0,25.58333,3.41,0.0002798507,0,1,0,1,7,0,13
1,0,29.58333,3.7,0.01527,29.95667,0,0,1,18,1,8
1,0,56,3.4,0.0003529412,0,1,0,0,12,1,0
0,0,46.16667,2.6,0.1375309,0,1,0,0,61,1,18
0,2,47,4.8,0.00025,0,1,0,0,42,1,4
